Sample Name	Assay Name	Protocol REF	Performer	Date	Comment [note]	Parameter Value [group1.insecticidal substance]	Term Source Ref	Term Accession Number	Parameter Value [group1.concentration]	Unit	Term Source Ref	Term Accession Number	Parameter Value [duration of exposure]	Unit	Term Source Ref	Term Accession Number	Raw Data File
PMI958	PMI.IR_WHO.PMI958.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI959	PMI.IR_WHO.PMI959.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI960	PMI.IR_WHO.PMI960.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI961	PMI.IR_WHO.PMI961.Pirimiphos-methyl 0.05%	IR_WHO				pirimiphos-methyl	MIRO	10000082	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI962	PMI.IR_WHO.PMI962.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI963	PMI.IR_WHO.PMI963.Alphacypermethrin 0.05%	IR_WHO				alpha-cypermethrin	MIRO	10000128	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI964	PMI.IR_WHO.PMI964.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI965	PMI.IR_WHO.PMI965.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI966	PMI.IR_WHO.PMI966.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI967	PMI.IR_WHO.PMI967.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI968	PMI.IR_WHO.PMI968.Pirimiphos-methyl 0.05%	IR_WHO				pirimiphos-methyl	MIRO	10000082	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI969	PMI.IR_WHO.PMI969.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI970	PMI.IR_WHO.PMI970.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI971	PMI.IR_WHO.PMI971.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI972	PMI.IR_WHO.PMI972.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI973	PMI.IR_WHO.PMI973.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI974	PMI.IR_WHO.PMI974.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI975	PMI.IR_WHO.PMI975.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI976	PMI.IR_WHO.PMI976.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI977	PMI.IR_WHO.PMI977.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI978	PMI.IR_WHO.PMI978.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI979	PMI.IR_WHO.PMI979.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI980	PMI.IR_WHO.PMI980.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI981	PMI.IR_WHO.PMI981.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI982	PMI.IR_WHO.PMI982.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI983	PMI.IR_WHO.PMI983.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI984	PMI.IR_WHO.PMI984.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI985	PMI.IR_WHO.PMI985.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI986	PMI.IR_WHO.PMI986.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI987	PMI.IR_WHO.PMI987.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI988	PMI.IR_WHO.PMI988.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI989	PMI.IR_WHO.PMI989.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI990	PMI.IR_WHO.PMI990.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI991	PMI.IR_WHO.PMI991.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI992	PMI.IR_WHO.PMI992.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI993	PMI.IR_WHO.PMI993.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI994	PMI.IR_WHO.PMI994.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI995	PMI.IR_WHO.PMI995.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI996	PMI.IR_WHO.PMI996.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI997	PMI.IR_WHO.PMI997.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI998	PMI.IR_WHO.PMI998.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI999	PMI.IR_WHO.PMI999.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1000	PMI.IR_WHO.PMI1000.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1001	PMI.IR_WHO.PMI1001.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1002	PMI.IR_WHO.PMI1002.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1003	PMI.IR_WHO.PMI1003.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1004	PMI.IR_WHO.PMI1004.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1005	PMI.IR_WHO.PMI1005.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1006	PMI.IR_WHO.PMI1006.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1007	PMI.IR_WHO.PMI1007.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1008	PMI.IR_WHO.PMI1008.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1009	PMI.IR_WHO.PMI1009.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1010	PMI.IR_WHO.PMI1010.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1011	PMI.IR_WHO.PMI1011.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1012	PMI.IR_WHO.PMI1012.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1013	PMI.IR_WHO.PMI1013.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1014	PMI.IR_WHO.PMI1014.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1015	PMI.IR_WHO.PMI1015.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1016	PMI.IR_WHO.PMI1016.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1017	PMI.IR_WHO.PMI1017.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1018	PMI.IR_WHO.PMI1018.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1019	PMI.IR_WHO.PMI1019.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1020	PMI.IR_WHO.PMI1020.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1021	PMI.IR_WHO.PMI1021.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1022	PMI.IR_WHO.PMI1022.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1023	PMI.IR_WHO.PMI1023.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1024	PMI.IR_WHO.PMI1024.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1025	PMI.IR_WHO.PMI1025.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1026	PMI.IR_WHO.PMI1026.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1027	PMI.IR_WHO.PMI1027.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1028	PMI.IR_WHO.PMI1028.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1029	PMI.IR_WHO.PMI1029.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1030	PMI.IR_WHO.PMI1030.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1031	PMI.IR_WHO.PMI1031.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1032	PMI.IR_WHO.PMI1032.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1033	PMI.IR_WHO.PMI1033.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1043	PMI.IR_WHO.PMI1043.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1044	PMI.IR_WHO.PMI1044.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1050	PMI.IR_WHO.PMI1050.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1051	PMI.IR_WHO.PMI1051.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1052	PMI.IR_WHO.PMI1052.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1053	PMI.IR_WHO.PMI1053.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1054	PMI.IR_WHO.PMI1054.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1055	PMI.IR_WHO.PMI1055.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1056	PMI.IR_WHO.PMI1056.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1057	PMI.IR_WHO.PMI1057.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1058	PMI.IR_WHO.PMI1058.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1059	PMI.IR_WHO.PMI1059.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1060	PMI.IR_WHO.PMI1060.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1061	PMI.IR_WHO.PMI1061.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1062	PMI.IR_WHO.PMI1062.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1063	PMI.IR_WHO.PMI1063.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1064	PMI.IR_WHO.PMI1064.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1065	PMI.IR_WHO.PMI1065.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1066	PMI.IR_WHO.PMI1066.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1067	PMI.IR_WHO.PMI1067.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1068	PMI.IR_WHO.PMI1068.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1069	PMI.IR_WHO.PMI1069.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1070	PMI.IR_WHO.PMI1070.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1071	PMI.IR_WHO.PMI1071.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1072	PMI.IR_WHO.PMI1072.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1073	PMI.IR_WHO.PMI1073.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1074	PMI.IR_WHO.PMI1074.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1075	PMI.IR_WHO.PMI1075.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1076	PMI.IR_WHO.PMI1076.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1077	PMI.IR_WHO.PMI1077.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1078	PMI.IR_WHO.PMI1078.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1079	PMI.IR_WHO.PMI1079.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1080	PMI.IR_WHO.PMI1080.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1081	PMI.IR_WHO.PMI1081.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1082	PMI.IR_WHO.PMI1082.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1083	PMI.IR_WHO.PMI1083.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1084	PMI.IR_WHO.PMI1084.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1085	PMI.IR_WHO.PMI1085.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1087	PMI.IR_WHO.PMI1087.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1088	PMI.IR_WHO.PMI1088.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1089	PMI.IR_WHO.PMI1089.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1090	PMI.IR_WHO.PMI1090.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1091	PMI.IR_WHO.PMI1091.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1094	PMI.IR_WHO.PMI1094.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1095	PMI.IR_WHO.PMI1095.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1096	PMI.IR_WHO.PMI1096.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1097	PMI.IR_WHO.PMI1097.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1098	PMI.IR_WHO.PMI1098.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1099	PMI.IR_WHO.PMI1099.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1100	PMI.IR_WHO.PMI1100.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1109	PMI.IR_WHO.PMI1109.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1110	PMI.IR_WHO.PMI1110.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1111	PMI.IR_WHO.PMI1111.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1112	PMI.IR_WHO.PMI1112.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1113	PMI.IR_WHO.PMI1113.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1114	PMI.IR_WHO.PMI1114.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1115	PMI.IR_WHO.PMI1115.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1116	PMI.IR_WHO.PMI1116.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1117	PMI.IR_WHO.PMI1117.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1118	PMI.IR_WHO.PMI1118.Propoxur 0.1%	IR_WHO				propoxur	MIRO	10000023	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1126	PMI.IR_WHO.PMI1126.Bendiocarb 0.1%	IR_WHO				bendiocarb	MIRO	10000006	0.1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1127	PMI.IR_WHO.PMI1127.DDT 4.0%	IR_WHO				DDT	MIRO	10000157	4	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1128	PMI.IR_WHO.PMI1128.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1129	PMI.IR_WHO.PMI1129.Fenitrothion 1.0%	IR_WHO				fenitrothion	MIRO	10000056	1	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1130	PMI.IR_WHO.PMI1130.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1131	PMI.IR_WHO.PMI1131.Deltamethrin 0.05%	IR_WHO				deltamethrin	MIRO	10000133	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1132	PMI.IR_WHO.PMI1132.Lambda-cyhalothrin 0.05%	IR_WHO				lambda-cyhalothrin	MIRO	10000125	0.05	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
PMI1133	PMI.IR_WHO.PMI1133.Permethrin 0.75%	IR_WHO				permethrin	MIRO	10000144	0.75	percent	UO	0000187	24	hour	UO	0000032	p_IR_WHO.txt
