Assay Name	Phenotype Name	Observable	Term Source Ref	Term Accession Number	Attribute	Term Source Ref	Term Accession Number	Value	Term Source Ref	Term Accession Number	Unit	Term Source Ref	Term Accession Number
PMI.IR_WHO.PMI470.Bendiocarb 0.1%	mortality percentage:98.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	98.0			percent	UO	0000187
PMI.IR_WHO.PMI471.DDT 4.0%	mortality percentage:0.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	0.0			percent	UO	0000187
PMI.IR_WHO.PMI472.Deltamethrin 0.05%	mortality percentage:1.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	1.0			percent	UO	0000187
PMI.IR_WHO.PMI473.Fenitrothion 1.0%	mortality percentage:100.0, 1 % fenitrothion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI474.Malathion 5.0%	mortality percentage:48.0, 5 % malathion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	48.0			percent	UO	0000187
PMI.IR_WHO.PMI475.Propoxur 0.1%	mortality percentage:99.0, 0.1 % propoxur	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	99.0			percent	UO	0000187
PMI.IR_WHO.PMI477.Deltamethrin 0.05%	mortality percentage:61.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	61.0			percent	UO	0000187
PMI.IR_WHO.PMI478.Propoxur 0.1%	mortality percentage:100.0, 0.1 % propoxur	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI479.Bendiocarb 0.1%	mortality percentage:100.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI480.DDT 4.0%	mortality percentage:13.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	13.0			percent	UO	0000187
PMI.IR_WHO.PMI481.Deltamethrin 0.05%	mortality percentage:27.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	27.0			percent	UO	0000187
PMI.IR_WHO.PMI482.Fenitrothion 1.0%	mortality percentage:99.0, 1 % fenitrothion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	99.0			percent	UO	0000187
PMI.IR_WHO.PMI483.Malathion 5.0%	mortality percentage:90.0, 5 % malathion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	90.0			percent	UO	0000187
PMI.IR_WHO.PMI484.Propoxur 0.1%	mortality percentage:100.0, 0.1 % propoxur	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI485.Bendiocarb 0.1%	mortality percentage:97.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	97.0			percent	UO	0000187
PMI.IR_WHO.PMI486.Deltamethrin 0.05%	mortality percentage:11.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	11.0			percent	UO	0000187
PMI.IR_WHO.PMI487.Fenitrothion 1.0%	mortality percentage:100.0, 1 % fenitrothion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI488.Propoxur 0.1%	mortality percentage:98.0, 0.1 % propoxur	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	98.0			percent	UO	0000187
PMI.IR_WHO.PMI489.Alphacypermethrin 0.05%	mortality percentage:50.0, 0.05 % alpha-cypermethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	50.0			percent	UO	0000187
PMI.IR_WHO.PMI490.Bendiocarb 0.1%	mortality percentage:87.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	87.0			percent	UO	0000187
PMI.IR_WHO.PMI491.DDT 4.0%	mortality percentage:6.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	6.0			percent	UO	0000187
PMI.IR_WHO.PMI492.Deltamethrin 0.05%	mortality percentage:44.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	44.0			percent	UO	0000187
PMI.IR_WHO.PMI493.Etofenprox 0.5%	mortality percentage:23.0, 0.5 % etofenprox	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	23.0			percent	UO	0000187
PMI.IR_WHO.PMI494.Fenitrothion 1.0%	mortality percentage:100.0, 1 % fenitrothion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI495.Malathion 5.0%	mortality percentage:26.0, 5 % malathion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	26.0			percent	UO	0000187
PMI.IR_WHO.PMI496.Pirimiphos-methyl 0.05%	mortality percentage:100.0, 0.05 % pirimiphos-methyl	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI497.Propoxur 0.1%	mortality percentage:100.0, 0.1 % propoxur	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI498.Alphacypermethrin 0.05%	mortality percentage:24.0, 0.05 % alpha-cypermethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	24.0			percent	UO	0000187
PMI.IR_WHO.PMI499.Bendiocarb 0.1%	mortality percentage:75.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	75.0			percent	UO	0000187
PMI.IR_WHO.PMI500.DDT 4.0%	mortality percentage:8.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	8.0			percent	UO	0000187
PMI.IR_WHO.PMI501.Deltamethrin 0.05%	mortality percentage:13.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	13.0			percent	UO	0000187
PMI.IR_WHO.PMI502.Etofenprox 0.5%	mortality percentage:33.0, 0.5 % etofenprox	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	33.0			percent	UO	0000187
PMI.IR_WHO.PMI503.Fenitrothion 1.0%	mortality percentage:100.0, 1 % fenitrothion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI504.Lambda-cyhalothrin 0.05%	mortality percentage:13.0, 0.05 % lambda-cyhalothrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	13.0			percent	UO	0000187
PMI.IR_WHO.PMI505.Malathion 5.0%	mortality percentage:96.0, 5 % malathion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	96.0			percent	UO	0000187
PMI.IR_WHO.PMI506.Pirimiphos-methyl 0.05%	mortality percentage:100.0, 0.05 % pirimiphos-methyl	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI507.Propoxur 0.1%	mortality percentage:75.0, 0.1 % propoxur	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	75.0			percent	UO	0000187
PMI.IR_WHO.PMI514.Bendiocarb 0.1%	mortality percentage:100.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI515.DDT 4.0%	mortality percentage:2.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	2.0			percent	UO	0000187
PMI.IR_WHO.PMI516.Deltamethrin 0.05%	mortality percentage:16.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	16.0			percent	UO	0000187
PMI.IR_WHO.PMI517.Fenitrothion 1.0%	mortality percentage:100.0, 1 % fenitrothion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI518.Lambda-cyhalothrin 0.05%	mortality percentage:9.0, 0.05 % lambda-cyhalothrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	9.0			percent	UO	0000187
PMI.IR_WHO.PMI519.Malathion 5.0%	mortality percentage:60.0, 5 % malathion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	60.0			percent	UO	0000187
PMI.IR_WHO.PMI520.Permethrin 0.75%	mortality percentage:12.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	12.0			percent	UO	0000187
PMI.IR_WHO.PMI521.Pirimiphos-methyl 0.05%	mortality percentage:100.0, 0.05 % pirimiphos-methyl	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI522.Propoxur 0.1%	mortality percentage:100.0, 0.1 % propoxur	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI529.Bendiocarb 0.1%	mortality percentage:92.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	92.0			percent	UO	0000187
PMI.IR_WHO.PMI530.DDT 4.0%	mortality percentage:9.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	9.0			percent	UO	0000187
PMI.IR_WHO.PMI531.Deltamethrin 0.05%	mortality percentage:26.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	26.0			percent	UO	0000187
PMI.IR_WHO.PMI532.Fenitrothion 1.0%	mortality percentage:97.0, 1 % fenitrothion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	97.0			percent	UO	0000187
PMI.IR_WHO.PMI533.Lambda-cyhalothrin 0.05%	mortality percentage:15.0, 0.05 % lambda-cyhalothrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	15.0			percent	UO	0000187
PMI.IR_WHO.PMI534.Malathion 5.0%	mortality percentage:81.0, 5 % malathion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	81.0			percent	UO	0000187
PMI.IR_WHO.PMI535.Permethrin 0.75%	mortality percentage:22.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	22.0			percent	UO	0000187
PMI.IR_WHO.PMI536.Pirimiphos-methyl 0.05%	mortality percentage:100.0, 0.05 % pirimiphos-methyl	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI537.Propoxur 0.1%	mortality percentage:98.0, 0.1 % propoxur	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	98.0			percent	UO	0000187
PMI.IR_WHO.PMI545.Bendiocarb 0.1%	mortality percentage:100.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI547.DDT 4.0%	mortality percentage:22.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	22.0			percent	UO	0000187
PMI.IR_WHO.PMI548.Deltamethrin 0.05%	mortality percentage:51.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	51.0			percent	UO	0000187
PMI.IR_WHO.PMI550.Fenitrothion 1.0%	mortality percentage:100.0, 1 % fenitrothion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI551.Lambda-cyhalothrin 0.05%	mortality percentage:44.0, 0.05 % lambda-cyhalothrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	44.0			percent	UO	0000187
PMI.IR_WHO.PMI553.Malathion 5.0%	mortality percentage:71.0, 5 % malathion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	71.0			percent	UO	0000187
PMI.IR_WHO.PMI555.Pirimiphos-methyl 0.05%	mortality percentage:100.0, 0.05 % pirimiphos-methyl	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI557.Propoxur 0.1%	mortality percentage:100.0, 0.1 % propoxur	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI634.Alphacypermethrin 0.05%	mortality percentage:32.0, 0.05 % alpha-cypermethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	32.0			percent	UO	0000187
PMI.IR_WHO.PMI635.Bendiocarb 0.1%	mortality percentage:100.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI636.DDT 4.0%	mortality percentage:26.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	26.0			percent	UO	0000187
PMI.IR_WHO.PMI637.Deltamethrin 0.05%	mortality percentage:36.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	36.0			percent	UO	0000187
PMI.IR_WHO.PMI638.Etofenprox 0.5%	mortality percentage:20.0, 0.5 % etofenprox	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	20.0			percent	UO	0000187
PMI.IR_WHO.PMI639.Malathion 5.0%	mortality percentage:90.0, 5 % malathion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	90.0			percent	UO	0000187
PMI.IR_WHO.PMI640.Pirimiphos-methyl 0.05%	mortality percentage:100.0, 0.05 % pirimiphos-methyl	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI641.Propoxur 0.1%	mortality percentage:100.0, 0.1 % propoxur	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI649.Bendiocarb 0.1%	mortality percentage:100.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI650.DDT 4.0%	mortality percentage:4.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	4.0			percent	UO	0000187
PMI.IR_WHO.PMI651.Deltamethrin 0.05%	mortality percentage:23.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	23.0			percent	UO	0000187
PMI.IR_WHO.PMI652.Fenitrothion 1.0%	mortality percentage:100.0, 1 % fenitrothion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI653.Lambda-cyhalothrin 0.05%	mortality percentage:18.0, 0.05 % lambda-cyhalothrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	18.0			percent	UO	0000187
PMI.IR_WHO.PMI654.Malathion 5.0%	mortality percentage:88.0, 5 % malathion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	88.0			percent	UO	0000187
PMI.IR_WHO.PMI655.Permethrin 0.75%	mortality percentage:19.0, 0.75 % permethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	19.0			percent	UO	0000187
PMI.IR_WHO.PMI656.Pirimiphos-methyl 0.05%	mortality percentage:100.0, 0.05 % pirimiphos-methyl	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI657.Propoxur 0.1%	mortality percentage:100.0, 0.1 % propoxur	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI658.Alphacypermethrin 0.05%	mortality percentage:43.0, 0.05 % alpha-cypermethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	43.0			percent	UO	0000187
PMI.IR_WHO.PMI659.Bendiocarb 0.1%	mortality percentage:75.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	75.0			percent	UO	0000187
PMI.IR_WHO.PMI660.DDT 4.0%	mortality percentage:16.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	16.0			percent	UO	0000187
PMI.IR_WHO.PMI661.Deltamethrin 0.05%	mortality percentage:20.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	20.0			percent	UO	0000187
PMI.IR_WHO.PMI662.Etofenprox 0.5%	mortality percentage:55.0, 0.5 % etofenprox	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	55.0			percent	UO	0000187
PMI.IR_WHO.PMI663.Fenitrothion 1.0%	mortality percentage:100.0, 1 % fenitrothion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI664.Malathion 5.0%	mortality percentage:33.0, 5 % malathion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	33.0			percent	UO	0000187
PMI.IR_WHO.PMI665.Pirimiphos-methyl 0.05%	mortality percentage:100.0, 0.05 % pirimiphos-methyl	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI666.Propoxur 0.1%	mortality percentage:96.0, 0.1 % propoxur	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	96.0			percent	UO	0000187
PMI.IR_WHO.PMI667.Cyfluthrin 0.15%	mortality percentage:98.0, 0.15 % cyfluthrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	98.0			percent	UO	0000187
PMI.IR_WHO.PMI668.DDT 4.0%	mortality percentage:63.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	63.0			percent	UO	0000187
PMI.IR_WHO.PMI669.Deltamethrin 0.05%	mortality percentage:95.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	95.0			percent	UO	0000187
PMI.IR_WHO.PMI670.Lambda-cyhalothrin 0.05%	mortality percentage:99.0, 0.05 % lambda-cyhalothrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	99.0			percent	UO	0000187
PMI.IR_WHO.PMI671.Malathion 5.0%	mortality percentage:100.0, 5 % malathion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI672.Propoxur 0.1%	mortality percentage:90.0, 0.1 % propoxur	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	90.0			percent	UO	0000187
PMI.IR_WHO.PMI673.Cyfluthrin 0.15%	mortality percentage:98.0, 0.15 % cyfluthrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	98.0			percent	UO	0000187
PMI.IR_WHO.PMI674.DDT 4.0%	mortality percentage:63.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	63.0			percent	UO	0000187
PMI.IR_WHO.PMI675.Deltamethrin 0.05%	mortality percentage:95.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	95.0			percent	UO	0000187
PMI.IR_WHO.PMI676.Lambda-cyhalothrin 0.05%	mortality percentage:99.0, 0.05 % lambda-cyhalothrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	99.0			percent	UO	0000187
PMI.IR_WHO.PMI677.Malathion 5.0%	mortality percentage:100.0, 5 % malathion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI678.Propoxur 0.1%	mortality percentage:90.0, 0.1 % propoxur	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	90.0			percent	UO	0000187
PMI.IR_WHO.PMI679.Alphacypermethrin 0.4%	mortality percentage:100.0, 0.4 % alpha-cypermethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI680.Bendiocarb 0.1%	mortality percentage:89.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	89.0			percent	UO	0000187
PMI.IR_WHO.PMI681.DDT 4.0%	mortality percentage:29.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	29.0			percent	UO	0000187
PMI.IR_WHO.PMI682.Deltamethrin 0.05%	mortality percentage:95.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	95.0			percent	UO	0000187
PMI.IR_WHO.PMI683.Dieldrin 4.0%	mortality percentage:26.0, 4 % dieldrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	26.0			percent	UO	0000187
PMI.IR_WHO.PMI684.Fenitrothion 1.0%	mortality percentage:97.0, 1 % fenitrothion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	97.0			percent	UO	0000187
PMI.IR_WHO.PMI685.Lambda-cyhalothrin 0.05%	mortality percentage:89.0, 0.05 % lambda-cyhalothrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	89.0			percent	UO	0000187
PMI.IR_WHO.PMI686.Malathion 5.0%	mortality percentage:96.0, 5 % malathion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	96.0			percent	UO	0000187
PMI.IR_WHO.PMI687.Propoxur 0.1%	mortality percentage:99.0, 0.1 % propoxur	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	99.0			percent	UO	0000187
PMI.IR_WHO.PMI688.Alphacypermethrin 0.4%	mortality percentage:100.0, 0.4 % alpha-cypermethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI689.Bendiocarb 0.1%	mortality percentage:89.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	89.0			percent	UO	0000187
PMI.IR_WHO.PMI690.DDT 4.0%	mortality percentage:29.0, 4 % DDT	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	29.0			percent	UO	0000187
PMI.IR_WHO.PMI691.Deltamethrin 0.05%	mortality percentage:95.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	95.0			percent	UO	0000187
PMI.IR_WHO.PMI692.Dieldrin 4.0%	mortality percentage:26.0, 4 % dieldrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	26.0			percent	UO	0000187
PMI.IR_WHO.PMI693.Fenitrothion 1.0%	mortality percentage:97.0, 1 % fenitrothion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	97.0			percent	UO	0000187
PMI.IR_WHO.PMI694.Lambda-cyhalothrin 0.05%	mortality percentage:89.0, 0.05 % lambda-cyhalothrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	89.0			percent	UO	0000187
PMI.IR_WHO.PMI695.Malathion 5.0%	mortality percentage:96.0, 5 % malathion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	96.0			percent	UO	0000187
PMI.IR_WHO.PMI696.Propoxur 0.1%	mortality percentage:99.0, 0.1 % propoxur	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	99.0			percent	UO	0000187
PMI.IR_WHO.PMI697.Alphacypermethrin 0.4%	mortality percentage:89.0, 0.4 % alpha-cypermethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	89.0			percent	UO	0000187
PMI.IR_WHO.PMI698.Bendiocarb 0.1%	mortality percentage:97.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	97.0			percent	UO	0000187
PMI.IR_WHO.PMI699.Cyfluthrin 0.15%	mortality percentage:73.0, 0.15 % cyfluthrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	73.0			percent	UO	0000187
PMI.IR_WHO.PMI700.Deltamethrin 0.05%	mortality percentage:87.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	87.0			percent	UO	0000187
PMI.IR_WHO.PMI701.Fenitrothion 1.0%	mortality percentage:95.0, 1 % fenitrothion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	95.0			percent	UO	0000187
PMI.IR_WHO.PMI702.Lambda-cyhalothrin 0.05%	mortality percentage:70.0, 0.05 % lambda-cyhalothrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	70.0			percent	UO	0000187
PMI.IR_WHO.PMI703.Malathion 5.0%	mortality percentage:98.0, 5 % malathion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	98.0			percent	UO	0000187
PMI.IR_WHO.PMI704.Propoxur 0.1%	mortality percentage:98.0, 0.1 % propoxur	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	98.0			percent	UO	0000187
PMI.IR_WHO.PMI705.Alphacypermethrin 0.4%	mortality percentage:89.0, 0.4 % alpha-cypermethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	89.0			percent	UO	0000187
PMI.IR_WHO.PMI706.Bendiocarb 0.1%	mortality percentage:97.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	97.0			percent	UO	0000187
PMI.IR_WHO.PMI707.Cyfluthrin 0.15%	mortality percentage:73.0, 0.15 % cyfluthrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	73.0			percent	UO	0000187
PMI.IR_WHO.PMI708.Deltamethrin 0.05%	mortality percentage:87.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	87.0			percent	UO	0000187
PMI.IR_WHO.PMI709.Fenitrothion 1.0%	mortality percentage:95.0, 1 % fenitrothion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	95.0			percent	UO	0000187
PMI.IR_WHO.PMI710.Lambda-cyhalothrin 0.05%	mortality percentage:70.0, 0.05 % lambda-cyhalothrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	70.0			percent	UO	0000187
PMI.IR_WHO.PMI711.Malathion 5.0%	mortality percentage:98.0, 5 % malathion	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	98.0			percent	UO	0000187
PMI.IR_WHO.PMI712.Propoxur 0.1%	mortality percentage:98.0, 0.1 % propoxur	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	98.0			percent	UO	0000187
PMI.IR_WHO.PMI713.Alphacypermethrin 0.4%	mortality percentage:95.0, 0.4 % alpha-cypermethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	95.0			percent	UO	0000187
PMI.IR_WHO.PMI714.Bendiocarb 0.1%	mortality percentage:100.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI715.Deltamethrin 0.05%	mortality percentage:100.0, 0.05 % deltamethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	100.0			percent	UO	0000187
PMI.IR_WHO.PMI716.Lambda-cyhalothrin 0.05%	mortality percentage:95.0, 0.05 % lambda-cyhalothrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	95.0			percent	UO	0000187
PMI.IR_WHO.PMI717.Alphacypermethrin 0.4%	mortality percentage:97.0, 0.4 % alpha-cypermethrin	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	97.0			percent	UO	0000187
PMI.IR_WHO.PMI718.Bendiocarb 0.1%	mortality percentage:97.0, 0.1 % bendiocarb	insecticide resistance	MIRO	00000021	mortality rate	VBcv	0000703	97.0			percent	UO	0000187
